,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
2057,2058,Estimates,Djibouti,,262,Country/Area,910,2019,100.0,96.0,88.0,91.0,90.0,87.0,85.0,74.0,65.0,52.0,41.0,34.0,25.0,17.0,14.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0
2128,2129,Estimates,Eritrea,,232,Country/Area,910,2019,491.0,488.0,476.0,355.0,283.0,291.0,263.0,183.0,142.0,133.0,84.0,83.0,68.0,60.0,46.0,29.0,15.0,6.0,2.0,0.0,0.0,0.0
2483,2484,Estimates,Mauritius,1,480,Country/Area,910,2019,65.0,71.0,84.0,95.0,96.0,101.0,87.0,89.0,98.0,82.0,87.0,89.0,73.0,61.0,42.0,23.0,15.0,8.0,3.0,1.0,0.0,0.0
2696,2697,Estimates,Réunion,2,638,Country/Area,910,2019,66.0,68.0,69.0,70.0,63.0,54.0,49.0,51.0,58.0,61.0,65.0,58.0,48.0,39.0,26.0,19.0,13.0,7.0,3.0,1.0,0.0,0.0
2767,2768,Estimates,Rwanda,,646,Country/Area,910,2019,1849.0,1654.0,1518.0,1319.0,1153.0,1016.0,963.0,795.0,575.0,437.0,356.0,365.0,244.0,175.0,103.0,61.0,25.0,17.0,2.0,1.0,0.0,0.0
2838,2839,Estimates,Seychelles,,690,Country/Area,910,2019,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
3264,3265,Estimates,Zimbabwe,,716,Country/Area,910,2019,2138.0,2174.0,1862.0,1594.0,1350.0,1112.0,1000.0,863.0,711.0,495.0,376.0,299.0,234.0,177.0,112.0,85.0,43.0,16.0,4.0,0.0,0.0,0.0
3832,3833,Estimates,Equatorial Guinea,,226,Country/Area,911,2019,195.0,167.0,139.0,120.0,133.0,142.0,135.0,100.0,66.0,46.0,36.0,24.0,20.0,15.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
3903,3904,Estimates,Gabon,,266,Country/Area,911,2019,316.0,270.0,221.0,189.0,180.0,190.0,186.0,155.0,124.0,99.0,74.0,52.0,39.0,30.0,22.0,14.0,8.0,3.0,1.0,0.0,0.0,0.0
4187,4188,Estimates,Eswatini,,748,Country/Area,913,2019,144.0,145.0,146.0,127.0,113.0,99.0,82.0,76.0,57.0,42.0,28.0,22.0,20.0,17.0,13.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0
4258,4259,Estimates,Lesotho,,426,Country/Area,913,2019,253.0,224.0,213.0,217.0,204.0,192.0,174.0,149.0,115.0,88.0,74.0,66.0,54.0,41.0,29.0,18.0,10.0,5.0,1.0,0.0,0.0,0.0
4329,4330,Estimates,Namibia,,516,Country/Area,913,2019,334.0,313.0,273.0,243.0,244.0,225.0,192.0,154.0,127.0,103.0,80.0,66.0,49.0,35.0,24.0,17.0,9.0,4.0,1.0,0.0,0.0,0.0
4400,4401,Estimates,South Africa,,710,Country/Area,913,2019,5786.0,5796.0,5382.0,4859.0,4960.0,5272.0,5325.0,4617.0,3688.0,3158.0,2626.0,2168.0,1751.0,1318.0,863.0,568.0,292.0,106.0,22.0,2.0,0.0,0.0
4684,4685,Estimates,Cabo Verde,,132,Country/Area,914,2019,53.0,53.0,51.0,49.0,48.0,53.0,52.0,44.0,34.0,28.0,25.0,22.0,15.0,10.0,4.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0
5820,5821,Estimates,Algeria,,12,Country/Area,912,2019,5025.0,4508.0,3620.0,2846.0,3106.0,3654.0,3724.0,3470.0,2899.0,2350.0,2005.0,1678.0,1347.0,1084.0,680.0,500.0,334.0,164.0,49.0,10.0,1.0,0.0
