,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
1916,1917,Estimates,Burundi,,108,Country/Area,910,2020,2054.0,1819.0,1508.0,1217.0,1043.0,987.0,875.0,664.0,447.0,301.0,260.0,232.0,201.0,138.0,70.0,42.0,22.0,8.0,2.0,0.0,0.0,1.0
1987,1988,Estimates,Comoros,,174,Country/Area,910,2020,124.0,114.0,102.0,90.0,80.0,71.0,64.0,54.0,43.0,34.0,28.0,23.0,18.0,12.0,7.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0
2200,2201,Estimates,Ethiopia,,231,Country/Area,910,2020,16791.0,15246.0,13853.0,12976.0,11747.0,9692.0,7519.0,6274.0,4934.0,4105.0,3229.0,2475.0,2056.0,1568.0,1188.0,741.0,372.0,152.0,39.0,5.0,0.0,1.0
2271,2272,Estimates,Kenya,,404,Country/Area,910,2020,7044.0,6970.0,6736.0,6011.0,5237.0,4358.0,4023.0,3447.0,2759.0,2144.0,1604.0,1202.0,888.0,631.0,381.0,193.0,102.0,36.0,6.0,0.0,0.0,1.0
2342,2343,Estimates,Madagascar,,450,Country/Area,910,2020,4109.0,3654.0,3331.0,3012.0,2676.0,2223.0,1830.0,1541.0,1314.0,1074.0,858.0,681.0,529.0,386.0,225.0,135.0,73.0,30.0,8.0,1.0,0.0,1.0
2413,2414,Estimates,Malawi,,454,Country/Area,910,2020,2924.0,2739.0,2562.0,2176.0,1839.0,1539.0,1292.0,994.0,807.0,630.0,481.0,365.0,278.0,203.0,153.0,91.0,43.0,13.0,2.0,0.0,0.0,1.0
2555,2556,Estimates,Mayotte,2,175,Country/Area,910,2020,36.0,35.0,35.0,30.0,25.0,19.0,17.0,16.0,15.0,12.0,9.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
2626,2627,Estimates,Mozambique,,508,Country/Area,910,2020,5157.0,4561.0,4054.0,3541.0,2913.0,2382.0,1962.0,1627.0,1288.0,1002.0,783.0,618.0,475.0,369.0,262.0,159.0,77.0,24.0,4.0,0.0,0.0,1.0
2910,2911,Estimates,Somalia,,706,Country/Area,910,2020,2827.0,2389.0,2119.0,1818.0,1534.0,1160.0,869.0,666.0,561.0,493.0,407.0,327.0,263.0,200.0,135.0,76.0,36.0,12.0,3.0,0.0,0.0,1.0
2981,2982,Estimates,South Sudan,,728,Country/Area,910,2020,1707.0,1538.0,1380.0,1201.0,1062.0,901.0,744.0,590.0,492.0,405.0,332.0,263.0,201.0,144.0,112.0,70.0,34.0,12.0,3.0,0.0,0.0,1.0
3052,3053,Estimates,Uganda,,800,Country/Area,910,2020,7796.0,7060.0,6192.0,5257.0,4328.0,3544.0,2849.0,2253.0,1765.0,1368.0,1066.0,787.0,568.0,407.0,261.0,151.0,64.0,22.0,3.0,0.0,0.0,1.0
3123,3124,Estimates,United Republic of Tanzania,3,834,Country/Area,910,2020,9739.0,8624.0,7655.0,6434.0,5263.0,4584.0,3903.0,3259.0,2685.0,2136.0,1661.0,1266.0,948.0,675.0,472.0,269.0,122.0,36.0,5.0,0.0,0.0,1.0
3194,3195,Estimates,Zambia,,894,Country/Area,910,2020,2946.0,2717.0,2429.0,2122.0,1747.0,1433.0,1193.0,992.0,808.0,606.0,434.0,328.0,238.0,166.0,113.0,67.0,33.0,11.0,2.0,0.0,0.0,1.0
3407,3408,Estimates,Angola,,24,Country/Area,911,2020,5795.0,5104.0,4349.0,3533.0,2883.0,2423.0,2041.0,1659.0,1331.0,1082.0,787.0,677.0,482.0,304.0,213.0,119.0,60.0,20.0,4.0,0.0,0.0,1.0
3478,3479,Estimates,Cameroon,,120,Country/Area,911,2020,4116.0,3730.0,3320.0,2856.0,2420.0,2132.0,1861.0,1539.0,1203.0,939.0,729.0,559.0,420.0,313.0,210.0,123.0,57.0,16.0,2.0,0.0,0.0,1.0
3549,3550,Estimates,Central African Republic,,140,Country/Area,911,2020,738.0,697.0,667.0,597.0,483.0,357.0,277.0,224.0,183.0,157.0,129.0,104.0,81.0,58.0,38.0,24.0,11.0,3.0,1.0,0.0,0.0,1.0
3620,3621,Estimates,Chad,,148,Country/Area,911,2020,2930.0,2522.0,2184.0,1855.0,1536.0,1246.0,990.0,780.0,610.0,473.0,362.0,292.0,236.0,181.0,112.0,68.0,34.0,12.0,3.0,0.0,0.0,1.0
3691,3692,Estimates,Congo,,178,Country/Area,911,2020,822.0,770.0,685.0,573.0,476.0,398.0,354.0,326.0,294.0,242.0,189.0,139.0,97.0,67.0,44.0,26.0,12.0,3.0,0.0,0.0,0.0,1.0
3762,3763,Estimates,Democratic Republic of the Congo,,180,Country/Area,911,2020,15827.0,13660.0,11528.0,9473.0,7730.0,6440.0,5341.0,4421.0,3629.0,2976.0,2422.0,1925.0,1486.0,1099.0,789.0,480.0,233.0,82.0,19.0,2.0,0.0,1.0
3975,3976,Estimates,Sao Tome and Principe,,678,Country/Area,911,2020,32.0,31.0,29.0,25.0,19.0,15.0,14.0,13.0,11.0,8.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4117,4118,Estimates,Botswana,,72,Country/Area,913,2020,272.0,267.0,247.0,226.0,204.0,199.0,187.0,178.0,149.0,112.0,80.0,66.0,59.0,45.0,30.0,19.0,8.0,3.0,1.0,0.0,0.0,1.0
