,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
1915,1916,Estimates,Burundi,,108,Country/Area,910,2019,2019.0,1767.0,1450.0,1174.0,1029.0,976.0,844.0,623.0,413.0,288.0,257.0,230.0,195.0,128.0,65.0,41.0,22.0,9.0,2.0,0.0,0.0,1.0
1986,1987,Estimates,Comoros,,174,Country/Area,910,2019,122.0,112.0,99.0,88.0,78.0,70.0,62.0,52.0,41.0,33.0,27.0,22.0,17.0,11.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0
2199,2200,Estimates,Ethiopia,,231,Country/Area,910,2019,16561.0,14972.0,13675.0,12800.0,11415.0,9254.0,7224.0,6037.0,4757.0,3963.0,3086.0,2396.0,1996.0,1524.0,1151.0,707.0,359.0,153.0,41.0,7.0,0.0,1.0
2270,2271,Estimates,Kenya,,404,Country/Area,910,2019,7009.0,6966.0,6630.0,5864.0,5067.0,4269.0,3950.0,3330.0,2645.0,2044.0,1528.0,1148.0,850.0,596.0,353.0,182.0,100.0,36.0,6.0,1.0,0.0,1.0
2341,2342,Estimates,Madagascar,,450,Country/Area,910,2019,4023.0,3591.0,3273.0,2954.0,2598.0,2141.0,1769.0,1499.0,1273.0,1034.0,827.0,657.0,510.0,364.0,211.0,132.0,73.0,30.0,8.0,2.0,0.0,1.0
2412,2413,Estimates,Malawi,,454,Country/Area,910,2019,2877.0,2720.0,2500.0,2105.0,1782.0,1496.0,1242.0,954.0,778.0,603.0,461.0,351.0,267.0,198.0,149.0,88.0,41.0,13.0,3.0,0.0,0.0,1.0
2554,2555,Estimates,Mayotte,2,175,Country/Area,910,2019,36.0,36.0,34.0,29.0,24.0,18.0,17.0,16.0,15.0,12.0,9.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
2625,2626,Estimates,Mozambique,,508,Country/Area,910,2019,5048.0,4466.0,3959.0,3426.0,2803.0,2299.0,1901.0,1572.0,1238.0,964.0,757.0,598.0,462.0,360.0,255.0,154.0,75.0,25.0,5.0,0.0,0.0,1.0
2909,2910,Estimates,Somalia,,706,Country/Area,910,2019,2749.0,2345.0,2068.0,1769.0,1476.0,1105.0,831.0,647.0,553.0,483.0,396.0,318.0,256.0,194.0,129.0,73.0,35.0,12.0,3.0,1.0,0.0,1.0
2980,2981,Estimates,South Sudan,,728,Country/Area,910,2019,1698.0,1535.0,1366.0,1189.0,1049.0,884.0,726.0,579.0,485.0,399.0,326.0,258.0,196.0,142.0,112.0,69.0,34.0,12.0,3.0,1.0,0.0,1.0
3051,3052,Estimates,Uganda,,800,Country/Area,910,2019,7686.0,6897.0,6003.0,5065.0,4161.0,3404.0,2727.0,2154.0,1687.0,1310.0,1018.0,748.0,542.0,388.0,249.0,143.0,61.0,24.0,4.0,0.0,0.0,1.0
3122,3123,Estimates,United Republic of Tanzania,3,834,Country/Area,910,2019,9528.0,8462.0,7441.0,6195.0,5107.0,4468.0,3785.0,3154.0,2587.0,2049.0,1590.0,1213.0,907.0,649.0,454.0,256.0,118.0,36.0,6.0,1.0,0.0,1.0
3193,3194,Estimates,Zambia,,894,Country/Area,910,2019,2902.0,2668.0,2372.0,2054.0,1683.0,1386.0,1157.0,961.0,775.0,573.0,413.0,314.0,227.0,159.0,108.0,65.0,32.0,11.0,2.0,0.0,0.0,1.0
3406,3407,Estimates,Angola,,24,Country/Area,911,2019,5670.0,4975.0,4192.0,3392.0,2786.0,2352.0,1972.0,1595.0,1285.0,1032.0,762.0,658.0,453.0,291.0,207.0,116.0,60.0,20.0,5.0,1.0,0.0,1.0
3477,3478,Estimates,Cameroon,,120,Country/Area,911,2019,4059.0,3667.0,3236.0,2769.0,2360.0,2089.0,1811.0,1480.0,1153.0,901.0,701.0,538.0,407.0,303.0,203.0,120.0,57.0,17.0,3.0,0.0,0.0,1.0
3548,3549,Estimates,Central African Republic,,140,Country/Area,911,2019,731.0,696.0,658.0,580.0,464.0,346.0,272.0,221.0,181.0,155.0,127.0,102.0,79.0,56.0,37.0,24.0,12.0,4.0,1.0,0.0,0.0,1.0
3619,3620,Estimates,Chad,,148,Country/Area,911,2019,2872.0,2469.0,2126.0,1796.0,1481.0,1198.0,952.0,750.0,587.0,454.0,350.0,285.0,231.0,174.0,107.0,67.0,33.0,12.0,3.0,1.0,0.0,1.0
3690,3691,Estimates,Congo,,178,Country/Area,911,2019,813.0,758.0,664.0,553.0,460.0,388.0,350.0,323.0,287.0,234.0,181.0,132.0,92.0,64.0,42.0,25.0,11.0,3.0,1.0,0.0,0.0,1.0
3761,3762,Estimates,Democratic Republic of the Congo,,180,Country/Area,911,2019,15503.0,13298.0,11124.0,9110.0,7461.0,6230.0,5164.0,4272.0,3507.0,2878.0,2339.0,1856.0,1431.0,1064.0,764.0,461.0,225.0,81.0,20.0,3.0,0.0,1.0
3974,3975,Estimates,Sao Tome and Principe,,678,Country/Area,911,2019,32.0,31.0,29.0,24.0,18.0,15.0,14.0,12.0,11.0,7.0,7.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4116,4117,Estimates,Botswana,,72,Country/Area,913,2019,272.0,264.0,242.0,221.0,201.0,197.0,186.0,174.0,142.0,105.0,77.0,65.0,58.0,43.0,28.0,18.0,8.0,3.0,1.0,0.0,0.0,1.0
4542,4543,Estimates,Benin,,204,Country/Area,914,2019,1874.0,1656.0,1451.0,1257.0,1085.0,916.0,759.0,630.0,521.0,429.0,351.0,276.0,210.0,154.0,108.0,72.0,34.0,13.0,4.0,1.0,0.0,1.0
